CAS,Name,Molecular Formulae,Molecular Weight
1070-87-7,"2,2,4,4-tetramethylpentane",CH3C(CH3)2CH2C(CH3)2CH3,128.2551
16747-38-9,"2,3,3,4-tetramethylpentane",(CH3)2CHC(CH3)2CH(CH3)2,128.2551
3221-61-2,2-methyloctane,(CH3)2CH(CH2)5CH3,128.2551
2216-33-3,3-methyloctane,CH3CH2CH(CH3)(CH2)4CH3,128.2551
2216-34-4,4-methyloctane,CH3(CH2)2CHCH3(CH2)3CH3,128.2551
15869-80-4,3-ethylheptane,CH3CH2CH(C2H5)CH2(CH2)2CH3,128.2551
1071-26-7,"2,2-dimethylheptane",CH3C(CH3)2(CH2)4CH3,128.2551
7154-80-5,"3,3,5-trimethylheptane",CH3CH2C(CH3)2CH2CH(CH3)CH2CH3,142.2817
15869-87-1,"2,2-dimethyloctane",CH3C(CH3)2(CH2)5CH3,142.2817
06-04-5911,3-methylnonane,CH3CH2CH(CH3)(CH2)5CH3,142.2817
871-83-0,2-methylnonane,(CH3)2CH(CH2)6CH3,142.2817
17301-94-9,4-methylnonane,CH3(CH2)2CH(CH3)(CH2)4CH3,142.2817
15869-85-9,5-methylnonane,CH3(CH2)3CH(CH3)(CH2)3CH3,142.2817
7688-21-3,Cis-2-hexene,CH3CHCH(CH2)2CH3,84.15948
4050-45-7,Trans-2-hexene,CH3CHCH(CH2)2CH3,84.15948
111-66-0,1-octene,CH2CH(CH2)5CH3,112.2126
124-11-8,1-nonene,CH2CH(CH2)6CH3,126.2392
821-95-4,1-undecene,CH3(CH2)8CHCH2,154.2924
763-29-1,2-methyl-1-pentene,CH2C(CH3)CH2CH2CH3,84.15948
691-38-3,4-methyl-cis-2-pentene,CH3CHCHCH(CH3)2,84.15948
674-76-0,4-methyl-trans-2-pentene,CH3CHCHCH(CH3)2,84.15948
110-83-8,Cyclohexene,-CH2CHCHCH2CH2CH2-,82.1436
1638-26-2,"1,1-dimethylcyclopentane",-CH2C(CH3)2CH2CH2CH2-,98.18607
1192-18-3,"Cis-1,2-dimethylcyclopentane",-CH(CH3)CH(CH3)(CH2)3-,98.18607
822-50-4,"Trans-1,2-dimethylcyclopentane",-CH(CH3)CH(CH3)(CH2)3-,98.18607
2532-58-3,"Cis-1,3-dimethylcyclopentane",-CH2CH(CH3)CH2CH(CH3)CH2-,98.18607
1759-58-6,"Trans-1,3-dimethylcyclopentane",-CH2CH(CH3)CH2CH(CH3)CH2-,98.18607
3875-51-2,Isopropylcyclopentane,(C5H9)CH(CH3)2,112.2126
